Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.113786796564404,0.210384838000589,-0.0515736103548764,0,0,0,11.151373897445,0.194163171939644,9.7428792693228E-18,1.60735826972413E-17,0.0754852490416872,0.000332799994502401,0.244153010760226,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/body.STL,,Body_collision-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf,0.00670884200432043,0.0342541979478499,0.00101544789727115,0,0,0,0.109939448590777,9.39389980696909E-05,9.99024686964962E-07,1.83827439379185E-05,0.000126169030112145,-1.17698408701748E-06,0.000114820764088305,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lf.STL,,Leg-3/hitbox_shoulder_left-1,shoulderlf,lfshoulder,j1,revolute,0.028418,0.305,-0.0887,0,0,0,body,0,-1,0,0,0,0,0,,,,,,,,
lft,0.0249546351051042,-0.0265951672077813,-0.0611042640329306,0,0,0,0.214968868775256,0.000553438869008273,-1.65313928690804E-06,-3.81921876719966E-06,0.000472387692450724,-0.000185459644548603,0.000125008740988362,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lft.STL,,Leg-3/thigh_hitbox-1,thighlf,lfthigh,j12,revolute,-0.030376,0.033595,-0.027163,0,0,0,lf,-0.99996,0,0.0089134,0,0,0,0,,,,,,,,
lfc,-0.0292186212615104,0.0490977223371922,-0.0580543027687059,0,0,0,0.222303065519725,0.000511641589017345,1.996880463663E-06,-1.99585563630291E-06,0.000365182486857749,0.000224022708751582,0.000287751642436189,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lfc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/lfc.STL,,Leg-3/lower_leg_hitbox-1,calflf,lfcalf,j13,revolute,0.056793,-0.053485,-0.12428,0,0,0,lft,0.99996,0,-0.0089134,0,0,0,0,,,,,,,,
rf,-0.00633865104283948,0.0342291979477745,0.00242095114205709,0,0,0,0.109939448590778,8.72356406340229E-05,-1.22677409895047E-06,-1.23698153691151E-05,0.000126169030112146,-9.37212449982516E-07,0.000121524121523972,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rf.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rf.STL,,Legmirror-4/shoulder_part_hitbox-3,shoulderrf,rfshoulder,j2,revolute,0.19876,0.30502,-0.0875,0,0,0,body,0,-1,0,0,0,0,0,,,,,,,,
rft,-0.0373233578683926,-0.0273933610198274,-0.0540401763848489,0,0,0,0.214968868775256,0.000535801218761615,-3.88031776575497E-05,-8.4692121806799E-05,0.000467450702036031,-0.000185965391353131,0.000147583381649704,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rft.STL,,Legmirror-4/thigh_hitbox-1,thighrf,rfthigh,j22,revolute,0.023894,0.03357,-0.03301,0,0,0,rf,0.97892,0,-0.20426,0,0,0,0,,,,,,,,
rfc,0.0227839827278775,0.0716580268119713,-0.0313150815339128,0,0,0,0.222303065519726,0.000511210915176803,2.97798988949999E-05,-2.14927898202122E-06,0.000152005907483818,0.000142721057572667,0.000501358895650669,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rfc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rfc.STL,,Legmirror-4/lower_leg_hitbox-1,calfrf,rfcalf,j23,revolute,-0.082726,-0.055033,-0.10959,0,0,0,rft,0,0,0,0,0,0,0,,,,,,,,
rb,-0.00662232922928152,0.0444542043625005,0.00112191050349619,0,0,0,0.109939448590778,9.44550211019587E-05,-9.82536274128306E-07,-1.86663994154545E-05,0.000126169030112145,-1.19078307692047E-06,0.000114304741056036,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rb.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rb.STL,,Legmirror-3/shoulder_part_hitbox-3,shoulderrb,rbshoulder,j3,revolute,0.19876,0.045,-0.0877,0,0,0,body,0,-1,0,0,0,0,0,,,,,,,,
rbt,-0.0242422792739249,-0.0376990677299545,-0.0552708001608133,0,0,0,0.214968868775255,0.000553292135114359,5.41171406291674E-06,7.91333849861869E-06,0.000390468192961197,-0.000236892001227658,0.000207074974371801,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rbt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rbt.STL,,Legmirror-3/thigh_hitbox-1,thighrb,rbthigh,j32,revolute,0.030851,0.043795,-0.026538,0,0,0,rb,0.99974,0,0.022839,0,0,0,0,,,,,,,,
rbc,0.0297150919921361,0.0616943451637069,-0.0441071139189825,0,0,0,0.222303065519725,0.000511599541559762,-4.93664302851959E-06,2.61934444605325E-06,0.000255975801811284,0.000216096274263026,0.00039700037494024,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rbc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot_collision_assem_urdf_2/meshes/rbc.STL,,Legmirror-3/lower_leg_hitbox-1,calfrb,rbcalf,j33,revolute,-0.056015,-0.076195,-0.11375,0,0,0,rbt,-0.99974,0,-0.022839,0,0,0,0,,,,,,,,
